name,address,eircode,x,y
Midland Regional Hospital Portlaoise,"Dublin Road, Portlaoise, Co. Laois, ",R32RW61,53.3458000, -6.2543577
Midland Regional Hospital Tullamore,"Arden Road, Tullamore, Co. Offaly, ",R35NY51,53.2831503,-7.558506
St James's Hospital Dublin,"James's Street, Dublin 8, ",D08NHY1,53.3433436,-6.2933929
Naas General Hospital,"Craddockstown Road, Naas, Co. Kildare, ",W91AE76,53.3105807,-6.7246004
The Adelaide & Meath Hospital (Tallaght Hospital) Dublin,"Tallaght, Dublin 24",,53.3221782,-6.3907341
Cavan General Hospital,"Lisdarn, Cavan, ",H12A5D7,53.6722112,-7.3748538
Louth County Hospital Dundalk,"Dublin Road, Dundalk",,53.6654922,-6.8852596
Monaghan Hospital,"Monaghan, ",H18NV91,53.8002865,-7.1478073
Our Lady of Lourdes Hospital Drogheda,"Drogheda, Co. Louth, ",A92VW28,53.5420501,-6.6050374
Connolly Hospital Dublin,"Mill Road, Dublin 15, ",D15X40D,53.3656651,-6.3899709
Beaumont Hospital,"Beaumont Road, Dublin 9, ",D09C562,53.3713323,-6.2712069
St Luke's General Hospital Kilkenny,"Freshford Road, Kilkenny, ",R95FY71,52.9936087,-7.3850927
Wexford General Hospital,"Newtown Road, Wexford, Y35y17d",,52.8471282,-7.0180269
Our Lady's Hospital Navan,"Navan, Co. Meath, ",C15RK7Y,53.6510687,-6.6987517
Midland Regional Hospital Mullingar,"Longford Road, Mullingar, Co. Westmeath, ",N91NA43,53.534184,-7.3511723
St Columcille's Hospital,"Bray Road, Loughlinstown, Co. Dublin, ",D18V9K1,53.2421777,-6.1338345
St Vincent's University Hospital,"Elm Park, Nutley Lane, Dublin 4, ",D04T6F4,53.3154098,-6.2113307
St Michael's Hospital Dun Laoghaire,"George's Street Lower, Dun Laoghaire, Co. Dublin, ",A96P902,53.2939182,-6.1402597
Mater Misericordiae Hospital,"Eccles Street, Dublin 7, ",D07R2WY,53.3598618,-6.2678576
South Tipperary General Hospital,"Western Road, Clonmel, Co. Tipperary, ",E91VY40,52.3553013,-7.7165644
University Hospital Waterford,"Dunmore Road, Waterford, ",X91ER8E,52.2487317,-7.0804766
Bantry General Hospital,"Carrignagat, Bantry, Co. Cork, ",P75DX93,51.6763376,-9.45189
Cork University Hospital,"Wilton, Cork, ",T12DC4A,51.883319,-8.5120279
Mallow General Hospital,"Kilknockin, Mallow, Co. Cork, ",P51N288,52.1514978,-8.6656809
Ennis Hospital,"Gort Road, Ennis, Co. Clare, ",V95HN29,52.851084,-8.9855052
Roscommon County Hospital,"Ardsallagh Beg, Co. Roscommon, ",F42AX61,53.6249633,-8.1773147
Mercy University Hospital,"Grenville Place, Cork, ",T12WE28,51.8988017,-8.4850991
Nenagh Hospital,"Tyone, Nenagh, Co. Tipperary, ",E45PT86,52.8577756,-8.1934985
Sligo Regional Hospital,"The Mall, Sligo, ",F91H684,54.2742179,-8.4649538
University Hospital Galway,"Newcastle Road, Galway, ",H91YR71,53.2768492,-9.0683007
Portiuncula Hospital,"Ballinasloe, Co. Galway, ",H53T971,53.3278589,-8.2370085
South Infirmary Victoria University Hospital,"Old Blackrock Road, Cork, ",T12X23H,51.8930935,-8.4675278
St John's Hospital,"St. John's Square, Limerick",,52.6631895,-8.6176956
Letterkenny University Hospital,"Kilmacrennan Road, Letterkenny, Co. Donegal, ",F92AE81,54.959978,-7.7363831
Merlin Park University Hospital,"Galway, ",H91N973,53.2775605,-8.9927572
University Hospital Kerry,"Tralee, Co. Kerry, ",V92NX94,52.2652602,-9.6908319
University Hospital Limerick,"Saint Nessan's Road, Dooradoyle, Limerick, ",V94F858,52.6364648,-8.6578473
Mayo General Hospital,"Westport Road, Castlebar, Co. Mayo, ",F23H529,53.8705234,-9.203783