FACILITY_TYPE,FACILITY_NAME,LOCATION,LAT,LONG
All weather pitches,Balbriggan Town Park,Balbriggan,53.6049596246817,-6.18235291959051
All weather pitches,Balheary Reservoir,Swords,53.4727096370551,-6.22301521551813
All weather pitches,Town Park,Skerries,53.5771135903791,-6.11107205744599
All weather pitches,St. Mologa's Park,Balbriggan,53.6176672458903,-6.18936794084573
Basketball Court,Seagrange Park,,53.3966674985382,-6.13535180348378
Basketball Court,Grace O'Malley Park,,53.3837670873571,-6.06993957211342
GAA Pitches,Broomfiled,Malahide,53.4391582903147,-6.14467208848085
GAA Pitches,St. Catherine's Park,Rush,53.5381980171844,-6.09594133030661
GAA Pitches,Malahide Demesne,Malahide,53.4478177382721,-6.15784132699727
GAA Pitches,Swords Manor,"Brackenstown, Swords",53.4591728031126,-6.249068963113
GAA Pitches,Balheary Park,Swords,53.4671271045697,-6.22034510719597
GAA Pitches,Balheary Park,Swords,53.4660349552282,-6.21611968889385
GAA Pitches,Balheary Park,Swords,53.467348630642,-6.21538771007825
GAA Pitches,Hartstown Park,,53.3959238366554,-6.41154517827057
GAA Pitches,Hartstown Park,,53.3953231958123,-6.41292838835715
GAA Pitches,Hunters Run/lLittlep,Clonee,53.4063916944007,-6.42191076267738
GAA Pitches,Skerries Town Park,Skerries,53.5765290455722,-6.10916744201192
GAA Pitches,Ballist Pit,Skerries,53.575296708008,-6.11740222324566
GAA Pitches,St. Molaga's Park,Balbriggan,53.6181394762323,-6.18796362011618
GAA Pitches,Seagrange Park,,53.393783117558,-6.13607093712939
Rugby Pitches,St. Mologa's Park,,53.6192924034811,-6.18909240633233
GAA Pitches,St. Catherines,Dublin 15,53.3662024316463,-6.46774754045766
GAA Pitches,St. Catherines,,53.3661733361238,-6.46600738669942
Seven-a-side,St. Catherine's Park,Rush,53.5393376304072,-6.09450155109758
Seven-a-side,Seabury,Malahide,53.4555471243316,-6.17781155116466
Seven-a-side,Ward River Valley,,53.4558136495821,-6.24957423891519
Seven-a-side,Balheary Park,Swords,53.4657614112316,-6.21839896828571
Seven-a-side,Balheary Park,Swords,53.4662709735996,-6.21810132467333
Seven-a-side,Balheary Park,Swords,53.4667978050831,-6.21809525880922
Seven-a-side,Balheary Reservoir ,Swords,53.4723537763046,-6.2261531553405
Seven-a-side,Balheary Reservoir,Swords,53.4726398197662,-6.22589595274399
Seven-a-side,Balheary Reservoir,Swords,53.4729479902679,-6.2256156970355
Seven-a-side,Hartstown Park,,53.393968080238,-6.41211092873122
Seven-a-side,Hartstown Park,,53.3963384827422,-6.41292397066233
Seven-a-side,Hartstown Park,,53.3962424394402,-6.41037074601988
Seven-a-side,Mountview Park,,53.3894534622967,-6.405522699176
Seven-a-side,St. Mologa's Park,Balbriggan,53.615899173763,-6.1854932149198
Seven-a-side,St. Mologa's Park,Balbriggan,53.6156257951025,-6.18391354720681
Seven-a-side,Seagrange Park,,53.3939238854099,-6.13880998370236
Seven-a-side,Bayside School,Sutton,53.3897700368883,-6.14914963464
Seven-a-side,Pinewood,Balbriggan,53.6065307243665,-6.17966815946838
Seven-a-side,St. Catherines,,53.3659085701132,-6.46947109846945
Seven-a-side,St. Catherines,,53.3659892957992,-6.4707290176191
Soccer pitches,Balbriggan Town Park,Balbriggan,53.6036899774124,-6.18138459670146
Soccer pitches,Balbriggan Town Park,Balbriggan,53.604642797328,-6.18133609646353
Soccer pitches,Ball Alley/Remount ,Lusk,53.5251287367783,-6.16069534107133
Soccer pitches,Newbridge Demesne,Donabate,53.4905094536679,-6.1761856549248
Soccer pitches,Newbridge Demesne,Donabate,53.4898838481802,-6.17645552041318
Soccer pitches,Newbridge Demesne,Donabate,53.4892921655101,-6.17685013930942
Soccer pitches,Newbridge Demesne,Donabate,53.4886223910085,-6.17706018664759
Soccer pitches,Newbridge Demesne,Donabate,53.4897784740616,-6.17496237614171
Soccer pitches,Newbridge Demense,Donabate,53.4895866347574,-6.17358363107345
Soccer pitches,Newbridge Demesne,Donabate,53.4887640072975,-6.17340375711033
Soccer pitches,Carrickhill Park,Portmarnock,53.4317487507021,-6.13942342627963
Soccer pitches,St. Catherine's Park,Rush,53.5390290099585,-6.09337811422159
Soccer pitches,St. Catherine's Park,Rush,53.5385517841112,-6.09769692154911
Soccer pitches,Swords Manor,"Brackenstown, Swords",53.4590387364441,-6.25115272940777
Soccer pitches,Ward River Valley,Swords,53.455855532962,-6.2448869208849
Soccer pitches,Balheary Park,Swords,53.4684264557609,-6.21460533218805
Soccer pitches,Balheary Park,Swords,53.4692562248938,-6.21393312690765
Soccer pitches,Balheary Reservoir,Swords,53.4722086332706,-6.22455060320527
Soccer pitches,Balheary Reservoir,Swords,53.4727532143964,-6.22437816202542
Soccer pitches,Balheary Reservoir,Swords,53.4729304703839,-6.22727355091584
Soccer pitches,Hartstown Park,,53.3957998908194,-6.41371466277525
Soccer pitches,Hartstown Park,,53.395094270612,-6.41455477470044
Soccer pitches,Hartstown Park,Hartstown,53.3944687820642,-6.41258990537217
Soccer pitches,Mourne View,Skerries,53.5801702491656,-6.12271431946141
Soccer pitches,Mourne View,Skerries,53.5805331308631,-6.12498779672751
Soccer pitches,Town Park,Balbriggan,53.5756675954932,-6.1079062121554
Soccer pitches,Town Park,Skerries,53.5756523253353,-6.10949822108311
Soccer pitches,Coolmine Park,Blanchardstown,53.3895336791179,-6.39255116935086
Soccer pitches,Mountview Park,Blanchardstown,53.3889597054201,-6.40701737101347
Soccer pitches,Corduff Park,Corduff,53.3973874661984,-6.37967519132997
Soccer pitches,Parslickstown,Mulhuddart,53.4066945029507,-6.40399522712078
Soccer pitches,Lady's Well Park,Mulhuddart,53.4074098702983,-6.38816766383641
Soccer pitches,Danny's Pitches,Mulhuddart,53.4120540557149,-6.39018642298396
Soccer pitches,Grace O'Malley Park,Howth,53.3850343852821,-6.06851225756661
Soccer pitches,Corballis Road,Donabate,53.4838075282266,-6.13634599517865
Soccer pitches,Laurel Lodge,Castleknock,53.3810956436847,-6.37124558642032
Soccer pitches,St. Mologa's Park,Balbriggan,53.6170745642375,-6.18693504548687
Soccer pitches,St. Mologa's Park,Balbriggan,53.6166955300167,-6.18816813012173
Soccer pitches,St. Mologa's Park,Balbriggan,53.6165427213157,-6.18903911886704
Soccer pitches,Craoibhinn Park,Balbriggan,53.6050860841386,-6.17632209518723
Soccer pitches,Seagrange Park,,53.3960183001863,-6.13543658163634
Soccer pitches,Seagrange Park,Baldoyle,53.3950396442173,-6.1358101939479
Soccer pitches,Seagrange Park,,53.3923690428337,-6.13478697030993
GAA Pitches,Balrothery Park,Balrothery ,53.5842587186935,-6.19133130165668
Soccer pitches,St. Catherines,,53.3667576285142,-6.47043430357714
Soccer pitches,St. Catherines,,53.3666957677986,-6.46922405311142
Soccer pitches,St. Catherines,,53.3661192018841,-6.46420051624575
Tennis Courts,Seagrange Park,,53.3924305120341,-6.13627665607428
GAA Pitches,St. Catherines,"St. Catherines Demesne, Lucan",53.3711170322279,-6.46750304531701
GAA Pitches,Hazelbury Park,Castaheany,53.401055350055,-6.42839686946297
Soccer pitches,Porterstown Park,Porterstown,53.3700809031924,-6.40425938637453
Soccer pitches,Robswall,Malahide,53.4418690708661,-6.13572668724154
Soccer pitches,Balheary  Reservoir,Swords,53.47199227978,-6.22303389154358
